mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2172109603881836,0.00896873692273408,0.016399049758911134,0.001140906473057551,gini,5,1,2,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8525798525798526,0.9142346634901727,0.8888888888888888,0.8351802715779616,0.8873805932629462,0.8756528539599644,0.028183973579956136,99
0.42084660530090334,0.011611652656241304,0.023028850555419922,0.0013335957405247831,gini,5,1,2,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8525798525798526,0.9142346634901727,0.8888888888888888,0.8230958230958232,0.9052631578947368,0.8768124771898949,0.03414205618335995,92
0.22141075134277344,0.01652166181040185,0.014920663833618165,0.0011148341747772204,gini,5,1,5,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8525798525798526,0.9013939838591343,0.904095904095904,0.8651474949274232,0.8736842105263158,0.8793802891977258,0.020242260349679644,79
0.4286977767944336,0.01164366100549276,0.02390260696411133,0.0018237039321222469,gini,5,1,5,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8525798525798526,0.927437641723356,0.8888888888888888,0.8403628117913833,0.9052631578947368,0.8829064705756435,0.03239846497091926,63
0.21707921028137206,0.005773271644651387,0.01597437858581543,0.0019589341619243605,gini,5,1,10,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.8525798525798526,0.9013939838591343,0.904095904095904,0.8570577724836212,0.9052631578947368,0.8840781341826498,0.023964960597821657,51
0.42583818435668946,0.012062228193788046,0.023750495910644532,0.00179894816800317,gini,5,1,10,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8525798525798526,0.9142346634901727,0.8888888888888888,0.8570577724836212,0.9224680988531739,0.8870458552591419,0.028581650954622426,31
0.23499641418457032,0.014409847702363624,0.017517280578613282,0.0030019977273888286,gini,5,2,2,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8525798525798526,0.8732208363903154,0.904095904095904,0.8693877551020408,0.9052631578947368,0.8809095012125701,0.0206162317812874,70
0.4474647045135498,0.032356909430263356,0.02200779914855957,0.0007356799169523592,gini,5,2,2,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8525798525798526,0.8888888888888888,0.8888888888888888,0.8403628117913833,0.9052631578947368,0.87519672000875,0.02451067326055584,103
0.21694235801696776,0.014718021083376503,0.015753507614135742,0.0007918693287739505,gini,5,2,5,100,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8525798525798526,0.8888888888888888,0.8888888888888888,0.8693877551020408,0.8736842105263158,0.8746859191971975,0.01357350979266029,106
0.418973445892334,0.011519995722855468,0.022036027908325196,0.0005726299770980083,gini,5,2,5,200,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8525798525798526,0.9013939838591343,0.8888888888888888,0.8403628117913833,0.9052631578947368,0.8776977390027991,0.026349235977500638,86
