mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01617741584777832,0.0008903366101496417,0.008586502075195313,0.0009393926995141399,gini,3,1,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.7524093932401248,0.8107042253521126,0.7130604288499025,0.7380116959064327,0.8055555555555556,0.7639482597808257,0.03824319417019981,55
0.017849493026733398,0.0016279888153355503,0.009504365921020507,0.0014591535973024065,gini,3,1,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.7524093932401248,0.8107042253521126,0.7130604288499025,0.7380116959064327,0.8055555555555556,0.7639482597808257,0.03824319417019981,55
0.015297794342041015,0.0004916181064821168,0.008421802520751953,0.0014730914407034387,gini,3,1,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.7524093932401248,0.8107042253521126,0.7130604288499025,0.7380116959064327,0.8055555555555556,0.7639482597808257,0.03824319417019981,55
0.01670970916748047,0.0012000643056166783,0.008488607406616212,0.001202802515207215,gini,3,2,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.7524093932401248,0.8107042253521126,0.7130604288499025,0.7380116959064327,0.8055555555555556,0.7639482597808257,0.03824319417019981,55
0.01542363166809082,0.0009660194618942138,0.007867860794067382,0.0010331077037509032,gini,3,2,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.7524093932401248,0.8107042253521126,0.7130604288499025,0.7380116959064327,0.8055555555555556,0.7639482597808257,0.03824319417019981,55
0.01546616554260254,0.0014089103196442613,0.008609819412231445,0.001426793849926966,gini,3,2,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.7524093932401248,0.8107042253521126,0.7130604288499025,0.7380116959064327,0.8055555555555556,0.7639482597808257,0.03824319417019981,55
0.017188644409179686,0.0015367799644641765,0.007967042922973632,0.0008456640576665558,gini,3,4,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7524093932401248,0.799749687108886,0.7130604288499025,0.7380116959064327,0.8055555555555556,0.7617573521321803,0.03573326462078878,61
0.01632580757141113,0.0009793641207955228,0.008655595779418945,0.0007461811435954551,gini,3,4,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.7524093932401248,0.799749687108886,0.7130604288499025,0.7380116959064327,0.8055555555555556,0.7617573521321803,0.03573326462078878,61
0.015999317169189453,0.0006726793523702961,0.008766365051269532,0.0005584740817820893,gini,3,4,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.7524093932401248,0.799749687108886,0.7130604288499025,0.7380116959064327,0.8055555555555556,0.7617573521321803,0.03573326462078878,61
0.017650890350341796,0.0025027188950082135,0.009053277969360351,0.0021030312870322517,gini,5,1,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.783661971830986,0.7983193277310925,0.8055555555555556,0.7069674850696748,0.8693877551020408,0.79277841905787,0.05197994470389735,15
0.01671433448791504,0.0017716611284609865,0.008308935165405273,0.0014786646036098864,gini,5,1,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.783661971830986,0.7983193277310925,0.8055555555555556,0.6606060606060606,0.8693877551020408,0.7835061341651471,0.06809656800196207,39
0.015580558776855468,0.0010603799998688014,0.01765131950378418,0.01912238288716796,gini,5,1,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.7730496453900709,0.7879142300194932,0.8107042253521126,0.6606060606060606,0.8856462179868969,0.7835840758709269,0.07267117731284436,38
0.018463706970214842,0.0032631977173501678,0.008061552047729492,0.0007208322669575868,gini,5,2,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.783661971830986,0.7879142300194932,0.8107042253521126,0.7626373626373626,0.8856462179868969,0.8061128015653705,0.04259574404121865,3
0.015863370895385743,0.0015117057086890852,0.008077049255371093,0.0009200779331044976,gini,5,2,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.783661971830986,0.7879142300194932,0.8107042253521126,0.7324485733244857,0.8856462179868969,0.800075043702795,0.0498518187921601,4
0.014872026443481446,0.0004568102563845353,0.007698869705200196,0.0005125538694388605,gini,5,2,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.7730496453900709,0.7879142300194932,0.8107042253521126,0.7324485733244857,0.8856462179868969,0.7979525784146119,0.05072371854591567,10
